,Unnamed: 0,date,stock,score1,score2,pred_rate,name
198,2697,2913,2024-01-16,67.89214,67.91336,0.0,奥士康
199,2877,300138,2024-01-16,66.83648,66.85725,0.0,晨光生物
200,412,600552,2024-01-16,78.33939,78.3637,0.0,凯盛科技
201,1,600004,2024-01-16,23.07131,23.078465,0.0,白云机场
202,2083,2244,2024-01-16,47.36455,47.379185,0.0,滨江集团
203,2406,2587,2024-01-16,54.921555,54.938488,0.0,奥拓电子
204,2963,300233,2024-01-16,38.762375,38.774323,0.0,金城医药
205,858,601599,2024-01-16,14.970636,14.975243,0.0,鹿港文化
206,1626,665,2024-01-16,31.917103,31.926924,0.0,湖北广电
207,722,600965,2024-01-16,11.086413,11.089823,0.0,福成股份
208,1170,603496,2024-01-16,93.57641,93.60515,0.0,恒为科技
209,1758,880,2024-01-16,43.573772,43.58712,0.0,潍柴重机
210,2936,300204,2024-01-16,88.8505,88.87767,0.0,舒泰神
211,533,600698,2024-01-16,23.575527,23.58273,0.0,*ST天雁
212,2287,2457,2024-01-16,25.308155,25.31587,0.0,青龙管业
213,3456,300757,2024-01-16,102.63883,102.67011,0.0,罗博特科
214,476,600624,2024-01-16,120.080475,120.11689,0.0,复旦复华
215,552,600720,2024-01-16,152.40074,152.44687,0.0,祁连山
216,804,601177,2024-01-16,10.278915,10.282021,0.0,杭齿前进
217,1861,2008,2024-01-16,196.19765,196.2569,0.0,大族激光
218,3388,300683,2024-01-16,37.454563,37.465843,0.0,海特生物
219,592,600765,2024-01-16,202.32935,202.38998,0.0,中航重机
220,122,600166,2024-01-16,91.619965,91.647415,0.0,福田汽车
221,1711,797,2024-01-16,16.480316,16.48525,0.0,中国武夷
222,2849,300110,2024-01-16,21.621181,21.627636,0.0,华仁药业
223,3079,300358,2024-01-16,60.29868,60.31666,0.0,楚天科技
224,477,600626,2024-01-16,29.11094,29.119576,0.0,申达股份
225,195,600258,2024-01-16,27.987999,27.996275,0.0,首旅酒店
226,1867,2015,2024-01-16,86.411575,86.437126,0.0,协鑫能科
227,521,600684,2024-01-16,43.34761,43.360405,0.0,珠江实业
228,1285,603722,2024-01-16,50.46345,50.478344,0.0,阿科力
229,700,600895,2024-01-16,462.61548,462.75165,0.0,张江高科
230,1124,603335,2024-01-16,12.062356,12.065898,0.0,迪生力
231,2910,300173,2024-01-16,26.510471,26.518234,0.0,智慧松德
232,1871,2021,2024-01-16,18.584396,18.589817,0.0,*ST中捷
233,2647,2859,2024-01-16,104.48271,104.51293,0.0,洁美科技
234,2327,2502,2024-01-16,17.444933,17.44997,0.0,鼎龙文化
235,1840,989,2024-01-16,44.394634,44.407448,0.0,九 芝 堂
236,484,600637,2024-01-16,46.11795,46.13124,0.0,东方明珠
237,3190,300475,2024-01-16,79.22257,79.2452,0.0,聚隆科技
238,1893,2044,2024-01-16,41.088684,41.10041,0.0,美年健康
239,163,600216,2024-01-16,54.064785,54.080204,0.0,浙江医药
240,2658,2870,2024-01-16,36.792282,36.802753,0.0,香山股份
241,2887,300148,2024-01-16,26.11368,26.121101,0.0,天舟文化
242,2602,2808,2024-01-16,12.341725,12.345222,0.0,恒久科技
243,1186,603533,2024-01-16,23.474928,23.481577,0.0,掌阅科技
244,289,600378,2024-01-16,108.522285,108.5527,0.0,昊华科技
245,320,600422,2024-01-16,148.88171,148.9232,0.0,昆药集团
246,223,600297,2024-01-16,8.826031,8.828489,0.0,广汇汽车
247,27,600037,2024-01-16,37.408535,37.418858,0.0,歌华有线
248,400,600536,2024-01-16,228.78413,228.8472,0.0,中国软件
249,3355,300650,2024-01-16,40.613213,40.624405,0.0,太龙照明
250,2715,2933,2024-01-16,36.873962,36.884113,0.0,新兴装备
251,471,600619,2024-01-16,297.56668,297.6483,0.0,海立股份
252,2347,2527,2024-01-16,28.42487,28.432652,0.0,新时达
253,2620,2829,2024-01-16,67.81003,67.82856,0.0,星网宇达
254,2918,300183,2024-01-16,79.625374,79.647095,0.0,东软载波
255,2724,2943,2024-01-16,36.129272,36.139107,0.0,宇晶股份
256,713,600933,2024-01-16,23.603899,23.610289,0.0,爱柯迪
257,1294,603739,2024-01-16,21.84226,21.848133,0.0,蔚蓝生物
258,1370,603901,2024-01-16,49.749214,49.762543,0.0,永创智能
259,2899,300162,2024-01-16,41.887657,41.89879,0.0,雷曼光电
260,1388,603936,2024-01-16,21.517553,21.52327,0.0,博敏电子
261,2861,300122,2024-01-16,391.42725,391.5312,0.0,智飞生物
262,3389,300684,2024-01-16,64.55085,64.56799,0.0,中石科技
263,2968,300238,2024-01-16,58.17889,58.19432,0.0,冠昊生物
264,2151,2314,2024-01-16,8.08088,8.083023,0.0,南山控股
265,2207,2372,2024-01-16,109.84833,109.87734,0.0,伟星新材
266,3410,300706,2024-01-16,46.99617,47.008526,0.0,阿石创
267,879,601689,2024-01-16,109.1714,109.199936,0.0,拓普集团
268,3272,300563,2024-01-16,31.07492,31.083033,0.0,神宇股份
269,3087,300369,2024-01-16,82.74547,82.767,0.0,绿盟科技
270,515,600676,2024-01-16,43.641685,43.65303,0.0,交运股份
271,136,600184,2024-01-16,39.638004,39.6483,0.0,光电股份
272,2675,2889,2024-01-16,37.930973,37.940784,0.0,东方嘉盛
273,2752,300003,2024-01-16,74.26624,74.2854,0.0,乐普医疗
274,367,600498,2024-01-16,42.0045,42.015316,0.0,烽火通信
275,1060,603198,2024-01-16,75.34784,75.36718,0.0,迎驾贡酒
276,3318,300611,2024-01-16,24.30915,24.315382,0.0,美力科技
277,1727,819,2024-01-16,161.6151,161.65651,0.0,岳阳兴长
278,463,600610,2024-01-16,438.46768,438.5799,0.0,*ST毅达
279,1541,534,2024-01-16,47.484516,47.496655,0.0,万泽股份
280,3268,300559,2024-01-16,94.32635,94.35043,0.0,佳发教育
281,3256,300546,2024-01-16,55.01519,55.029232,0.0,雄帝科技
282,3074,300352,2024-01-16,98.80652,98.831726,0.0,北信源
283,3271,300562,2024-01-16,38.706646,38.71649,0.0,乐心医疗
284,2461,2646,2024-01-16,15.830608,15.834632,0.0,青青稞酒
285,246,600325,2024-01-16,71.28675,71.30486,0.0,华发股份
286,1446,31,2024-01-16,38.60612,38.615902,0.0,大悦城
287,247,600326,2024-01-16,41.915455,41.92607,0.0,西藏天路
