stock,date,score1,score2
'600596,2024-01-26,102.43369,102.16463
'600597,2024-01-26,20.138794,20.216003
'600598,2024-01-26,20.644081,20.816597
'600599,2024-01-26,26.37664,25.963184
'600600,2024-01-26,95.78594,94.767746
'600601,2024-01-26,21709.283,22932.568
'600602,2024-01-26,5327.112,5541.193
'600603,2024-01-26,1546.2408,1549.8744
'600604,2024-01-26,178.88889,182.74367
'600605,2024-01-26,873.41675,870.33954
'600606,2024-01-26,383.65115,386.4199
'600608,2024-01-26,456.35666,468.8404
'600609,2024-01-26,81.12096,80.93586
'600610,2024-01-26,410.64,418.63553
'600611,2024-01-26,1064.8271,1077.4565
'600612,2024-01-26,6561.16,6596.8745
'600613,2024-01-26,173.90227,179.16318
'600615,2024-01-26,726.073,755.69257
'600616,2024-01-26,1948.4001,1957.9363
'600617,2024-01-26,176.50246,179.08887
'600618,2024-01-26,169.33646,170.70804
'600619,2024-01-26,272.03613,276.09555
'600620,2024-01-26,3325.4644,3365.4268
'600621,2024-01-26,3093.5398,3227.6436
'600622,2024-01-26,597.37067,610.7547
'600623,2024-01-26,124.804634,125.26359
'600624,2024-01-26,112.382454,115.32353
'600626,2024-01-26,27.981209,27.930733
'600628,2024-01-26,337.658,332.89362
'600629,2024-01-26,46.261585,47.949173
'600630,2024-01-26,26.875519,25.39397
'600633,2024-01-26,60.365154,64.02068
'600635,2024-01-26,754.8048,764.0442
'600636,2024-01-26,114.34618,122.03257
'600637,2024-01-26,42.633305,43.45015
'600638,2024-01-26,61.96427,64.75833
'600639,2024-01-26,31.344183,32.752518
'600640,2024-01-26,69.00009,73.11748
'600641,2024-01-26,300.9814,306.52756
'600642,2024-01-26,41.32453,41.734737
'600643,2024-01-26,47.808746,49.438232
'600644,2024-01-26,109.93946,110.90538
'600645,2024-01-26,349.64606,355.58246
'600647,2024-01-26,68.61843,74.9438
'600648,2024-01-26,28.805595,29.996958
'600649,2024-01-26,88.049255,89.920044
'600650,2024-01-26,30.630503,30.86676
'600651,2024-01-26,20681.418,21081.219
'600653,2024-01-26,18556.633,18825.42
'600654,2024-01-26,2946.704,2923.6384
'600655,2024-01-26,1741.1442,1747.2766
'600657,2024-01-26,38.858376,40.21105
'600658,2024-01-26,28.811329,29.615622
'600660,2024-01-26,2396.4927,2402.3643
'600661,2024-01-26,57.08016,62.725304
'600662,2024-01-26,268.2029,275.05115
'600663,2024-01-26,93.76971,95.39677
'600664,2024-01-26,56.54178,57.680134
'600665,2024-01-26,11.874157,12.1790085
'600666,2024-01-26,32.472107,33.679974
'600667,2024-01-26,26.721703,27.364214
'600668,2024-01-26,111.9727,114.196495
'600671,2024-01-26,37.309856,37.10516
'600673,2024-01-26,124.76758,126.24544
'600674,2024-01-26,326.61874,328.4747
'600675,2024-01-26,114.97848,121.25702
'600676,2024-01-26,41.943966,42.5457
'600678,2024-01-26,22.430387,25.215202
'600679,2024-01-26,16.547445,17.477516
'600681,2024-01-26,41.22083,41.8201
'600682,2024-01-26,94.86246,95.82428
'600683,2024-01-26,32.08551,32.860474
'600684,2024-01-26,40.1191,41.298416
'600685,2024-01-26,34.650127,34.73447
'600686,2024-01-26,77.82972,80.65838
'600688,2024-01-26,7.5175533,7.571992
'600689,2024-01-26,17.423532,18.054682
'600690,2024-01-26,792.51746,804.7133
'600691,2024-01-26,33.49656,33.74233
'600692,2024-01-26,39.44181,42.357464
'600693,2024-01-26,45.81574,45.56554
'600694,2024-01-26,121.218796,120.67734
'600696,2024-01-26,48.02817,49.64782
'600697,2024-01-26,54.289127,53.958595
'600698,2024-01-26,20.623327,21.729801
'600699,2024-01-26,58.71458,59.106346
'600702,2024-01-26,305.99698,300.51
'600703,2024-01-26,299.59097,301.019
'600704,2024-01-26,79.23952,80.00402
'600705,2024-01-26,395.21576,405.8914
'600706,2024-01-26,28.26432,29.03419
'600707,2024-01-26,8.184637,8.247345
'600708,2024-01-26,22.6226,22.894934
'600710,2024-01-26,38.05098,38.940586
'600711,2024-01-26,42.60026,42.85572
'600712,2024-01-26,23.35071,24.405695
'600713,2024-01-26,52.683285,54.284977
'600714,2024-01-26,18.883472,19.14954
'600715,2024-01-26,9.724943,10.381682
'600716,2024-01-26,13.6327505,13.752384
'600717,2024-01-26,209.7114,211.52306
'600718,2024-01-26,137.9896,141.53583
'600719,2024-01-26,34.693558,35.344902
'600720,2024-01-26,142.16953,142.76003
'600721,2024-01-26,11.391425,11.752105
'600722,2024-01-26,18.734259,19.21983
'600724,2024-01-26,57.888245,58.833527
'600725,2024-01-26,16.889324,18.277742
'600726,2024-01-26,6.941772,7.000633
'600727,2024-01-26,23.434841,23.428123
'600728,2024-01-26,78.93792,80.30866
'600729,2024-01-26,73.45086,73.98691
'600730,2024-01-26,23.164549,24.32639
'600731,2024-01-26,43.226524,42.62175
'600732,2024-01-26,86.973946,88.55548
'600733,2024-01-26,46.908585,47.803608
'600734,2024-01-26,43.14859,46.11017
'600735,2024-01-26,38.548874,37.492695
'600736,2024-01-26,92.46517,95.37128
'600737,2024-01-26,118.20785,118.667244
'600738,2024-01-26,47.62094,48.34689
'600739,2024-01-26,342.78677,351.20178
'600740,2024-01-26,59.320744,60.775253
'600741,2024-01-26,687.20184,685.2263
'600742,2024-01-26,148.29642,152.20949
'600743,2024-01-26,49.313194,50.234043
'600745,2024-01-26,111.081245,113.769135
'600746,2024-01-26,47.393078,47.699993
'600748,2024-01-26,20.338018,20.684074
'600749,2024-01-26,28.432713,28.29859
'600750,2024-01-26,284.01212,290.47067
'600751,2024-01-26,8.568437,8.814153
